Scan,Row,Col,VRefN,PPReg,rawIadj,Mean,Delta
R88-C30,88,30,40.5,169,169,41,0.5
R92-C29,92,29,39.49,174,174,41,1.51
R64-C33,64,33,38.5,152,152,41,2.5
R29-C41,29,41,38.5,174,174,41,2.5
R66-C28,66,28,39.94,174,174,41,1.06
R115-C21,115,21,38.5,156,156,41,2.5
R25-C42,25,42,40.5,152,152,41,0.5
R53-C41,53,41,38.41,174,174,41,2.59
R73-C36,73,36,40.5,174,174,41,0.5
R92-C23,92,23,39.5,173,173,41,1.5
R126-C25,126,25,40.5,152,152,41,0.5
R80-C32,80,32,39.54,174,174,41,1.46
R88-C33,88,33,40.5,174,174,41,0.5
R69-C28,69,28,40.52,169,169,41,0.48
R42-C40,42,40,40.5,174,174,41,0.5
R106-C21,106,21,39.42,156,156,41,1.58
R59-C41,59,41,39.5,174,174,41,1.5
R75-C37,75,37,39.5,174,174,41,1.5
R108-C25,108,25,40.5,152,152,41,0.5
R32-C35,32,35,39.5,174,174,41,1.5
R109-C30,109,30,40.5,169,169,41,0.5
R32-C44,32,44,38.5,152,152,41,2.5
R56-C32,56,32,38.5,170,170,41,2.5
R116-C26,116,26,40.65,169,169,41,0.35
R52-C39,52,39,38.5,174,174,41,2.5
R84-C31,84,31,39.51,152,152,41,1.49
R96-C28,96,28,40.5,152,152,41,0.5
R93-C25,93,25,39.5,170,170,41,1.5
R60-C34,60,34,40.5,152,152,41,0.5
R55-C39,55,39,38.24,174,174,41,2.76
R105-C31,105,31,39.5,174,174,41,1.5
R124-C18,124,18,38.28,171,171,41,2.72
R87-C22,87,22,39.5,174,174,41,1.5
R102-C22,102,22,38.5,156,156,41,2.5
R62-C35,62,35,38.5,174,174,41,2.5
R41-C44,41,44,38.53,174,174,41,2.47
R127-C18,127,18,37.5,171,171,41,3.5
R59-C35,59,35,40.43,174,174,41,0.57
R70-C33,70,33,38.5,174,174,41,2.5
R103-C27,103,27,38.5,152,152,41,2.5
R34-C45,34,45,40.5,152,152,41,0.5
R122-C20,122,20,39.35,173,173,41,1.65
R73-C30,73,30,40.5,143,143,41,0.5
R35-C38,35,38,39.5,174,174,41,1.5
R54-C40,54,40,39.5,170,170,41,1.5
R120-C28,120,28,40.43,152,152,41,0.57
R91-C30,91,30,38.49,174,174,41,2.51
R72-C34,72,34,40.5,169,169,41,0.5
R93-C31,93,31,40.5,169,169,41,0.5
R105-C19,105,19,39.48,156,156,41,1.52
R98-C20,98,20,38.5,156,156,41,2.5
R85-C24,85,24,39.5,173,173,41,1.5
R14-C38,14,38,38.5,152,152,41,2.5
R114-C28,114,28,40.5,169,169,41,0.5
R45-C31,45,31,39.52,174,174,41,1.48
R124-C27,124,27,39.5,152,152,41,1.5
R107-C29,107,29,40.46,169,169,41,0.54
R53-C29,53,29,40.5,169,169,41,0.5
R45-C37,45,37,39.5,174,174,41,1.5
R125-C17,125,17,39.52,175,175,41,1.48
R54-C31,54,31,38.5,174,174,41,2.5
R63-C37,63,37,40.5,174,174,41,0.5
R104-C38,104,38,40.5,170,170,41,0.5
R78-C46,78,46,39.02,174,174,41,1.98
R89-C35,89,35,40.18,169,169,41,0.82
R126-C28,126,28,39.77,152,152,41,1.23
R86-C44,86,44,40.46,170,170,41,0.54
R104-C32,104,32,39.52,174,174,41,1.48
R107-C41,107,41,38.5,174,174,41,2.5
R65-C47,65,47,38.5,174,174,41,2.5
R120-C31,120,31,39.55,169,169,41,1.45
R109-C42,109,42,39.5,170,170,41,1.5
R120-C37,120,37,40.47,170,170,41,0.53
R109-C39,109,39,39.45,174,174,41,1.55
R65-C50,65,50,39.5,170,170,41,1.5
R111-C40,111,40,38.5,170,170,41,2.5
R119-C41,119,41,40.5,170,170,41,0.5
R85-C39,85,39,39.5,170,170,41,1.5
R104-C35,104,35,39.5,169,169,41,1.5
R97-C42,97,42,40.5,170,170,41,0.5
R108-C37,108,37,39.49,174,174,41,1.51
R42-C49,42,49,39.5,169,169,41,1.5
R105-C34,105,34,38.84,152,152,41,2.16
R97-C45,97,45,40.5,170,170,41,0.5
R56-C47,56,47,40.5,169,169,41,0.5
R124-C36,124,36,40.5,169,169,41,0.5
R68-C44,68,44,39.5,170,170,41,1.5
R60-C49,60,49,39.5,174,174,41,1.5
R49-C45,49,45,39.51,170,170,41,1.49
R103-C45,103,45,38.55,170,170,41,2.45
R70-C45,70,45,40.5,170,170,41,0.5
R91-C42,91,42,39.5,170,170,41,1.5
R44-C47,44,47,39.5,169,169,41,1.5
R88-C45,88,45,39.5,174,174,41,1.5
R40-C45,40,45,37.5,170,170,41,3.5
R117-C37,117,37,39.5,174,174,41,1.5
R47-C44,47,44,38.5,174,174,41,2.5
R65-C41,65,41,39.5,170,170,41,1.5
R58-C48,58,48,39.5,170,170,41,1.5
R95-C38,95,38,40.5,170,170,41,0.5
R78-C40,78,40,40.5,174,174,41,0.5
R112-C36,112,36,40.5,170,170,41,0.5
R102-C34,102,34,38.71,174,174,41,2.29
R67-C42,67,42,40.5,174,174,41,0.5
R110-C35,110,35,37.5,152,152,41,3.5
R79-C39,79,39,40.5,174,174,41,0.5
R75-C49,75,49,39.5,170,170,41,1.5
R91-C39,91,39,39.5,174,174,41,1.5
R92-C44,92,44,39.5,170,170,41,1.5
R44-C44,44,44,39.22,170,170,41,1.78
R59-C50,59,50,38.5,170,170,41,2.5
R74-C38,74,38,39.5,174,174,41,1.5
R92-C38,92,38,39.08,174,174,41,1.92
R104-C41,104,41,38.5,174,174,41,2.5
R77-C38,77,38,38.5,174,174,41,2.5
R85-C42,85,42,40.5,170,170,41,0.5
R94-C45,94,45,39.53,170,170,41,1.47
R106-C39,106,39,39.5,170,170,41,1.5
R112-C42,112,42,38.5,174,174,41,2.5
R121-C39,121,39,40.5,170,170,41,0.5
R117-C34,117,34,39.5,174,174,41,1.5
R83-C47,83,47,38.5,169,169,41,2.5
R111-C37,111,37,40.5,174,174,41,0.5
R108-C31,108,31,40.5,169,169,41,0.5
R89-C38,89,38,39.84,170,170,41,1.16
R101-C44,101,44,39.5,170,170,41,1.5
R89-C44,89,44,37.5,174,174,41,3.5
R76-C48,76,48,40.44,174,174,41,0.56
R99-C40,99,40,40.5,170,170,41,0.5
R65-C53,65,53,38.5,170,170,41,2.5
R58-C51,58,51,39.5,174,174,41,1.5
R126-C40,126,40,38.5,174,174,41,2.5
R63-C52,63,52,40.5,170,170,41,0.5
R121-C36,121,36,38.45,174,174,41,2.55
R60-C46,60,46,38.5,174,174,41,2.5
R90-C40,90,40,40.44,170,170,41,0.56
R66-C43,66,43,39.5,170,170,41,1.5
R70-C51,70,51,38.5,174,174,41,2.5
R45-C46,45,46,39.63,174,174,41,1.37
R102-C43,102,43,39.5,169,169,41,1.5
R116-C38,116,38,40.5,174,174,41,0.5
R124-C39,124,39,40.6,170,170,41,0.4
R54-C43,54,43,39.49,169,169,41,1.51
R82-C45,82,45,37.5,174,174,41,3.5
R122-C29,122,29,39.5,152,152,41,1.5
R105-C43,105,43,38.5,170,170,41,2.5
R80-C47,80,47,40.36,170,170,41,0.64
R79-C48,79,48,40.44,170,170,41,0.56
R110-C32,110,32,40.5,169,169,41,0.5
R70-C39,70,39,38.5,174,174,41,2.5
R85-C36,85,36,40.5,169,169,41,0.5
R118-C42,118,42,38.63,174,174,41,2.37
R85-C45,85,45,38.5,174,174,41,2.5
R62-C53,62,53,39.86,174,174,41,1.14
R71-C41,71,41,37.5,170,170,41,3.5
R123-C37,123,37,39.88,170,170,41,1.12
R55-C45,55,45,38.5,174,174,41,2.5
R76-C45,76,45,38.5,174,174,41,2.5
R54-C49,54,49,39.51,170,170,41,1.49
R70-C48,70,48,40.5,170,170,41,0.5
R82-C48,82,48,40.5,170,170,41,0.5
R103-C33,103,33,40.5,169,169,41,0.5
R113-C35,113,35,40.5,174,174,41,0.5
R107-C38,107,38,38.51,174,174,41,2.49
R68-C41,68,41,40.5,170,170,41,0.5
R74-C41,74,41,39.54,170,170,41,1.46
R98-C41,98,41,38.42,174,174,41,2.58
R46-C48,46,48,38.49,174,174,41,2.51
R88-C48,88,48,39.5,170,170,41,1.5
R55-C48,55,48,40.5,170,170,41,0.5
R118-C33,118,33,40.5,152,152,41,0.5
R119-C32,119,32,39.5,174,174,41,1.5
R78-C49,78,49,38.5,174,174,41,2.5
R101-C38,101,38,39.5,174,174,41,1.5
R43-C48,43,48,38.5,170,170,41,2.5
R118-C36,118,36,38.5,174,174,41,2.5
R108-C40,108,40,40.5,170,170,41,0.5
R108-C43,108,43,38.5,170,170,41,2.5
R61-C51,61,51,39.54,174,174,41,1.46
R120-C34,120,34,40.5,174,174,41,0.5
R73-C48,73,48,40.5,170,170,41,0.5
R110-C38,110,38,39.54,170,170,41,1.46
R115-C39,115,39,40.5,170,170,41,0.5
R63-C49,63,49,37.5,174,174,41,3.5
R118-C39,118,39,37.54,170,170,41,3.46
R51-C49,51,49,39.5,170,170,41,1.5
R64-C45,64,45,40.5,152,152,41,0.5
R67-C51,67,51,38.5,170,170,41,2.5
R75-C43,75,43,40.5,170,170,41,0.5
R58-C45,58,45,40.5,170,170,41,0.5
R100-C45,100,45,40.47,170,170,41,0.53
R127-C39,127,39,40.5,170,170,41,0.5
R49-C48,49,48,38.5,170,170,41,2.5
R107-C44,107,44,40.51,172,172,41,0.49
R60-C43,60,43,39.76,170,170,41,1.24
R81-C40,81,40,38.48,174,174,41,2.52
R93-C43,93,43,38.61,170,170,41,2.39
R63-C46,63,46,39.5,152,152,41,1.5
R113-C38,113,38,40.5,170,170,41,0.5
R82-C39,82,39,38.5,152,152,41,2.5
R92-C47,92,47,40.5,174,174,41,0.5
R106-C42,106,42,39.5,174,174,41,1.5
R57-C43,57,43,38.5,170,170,41,2.5
R119-C35,119,35,40.51,169,169,41,0.49
R69-C43,69,43,40.47,170,170,41,0.53
R48-C49,48,49,39.5,169,169,41,1.5
R96-C46,96,46,39.5,170,170,41,1.5
R113-C41,113,41,39.5,170,170,41,1.5
R105-C37,105,37,39.45,174,174,41,1.55
R98-C35,98,35,40.5,170,170,41,0.5
R64-C42,64,42,38.73,174,174,41,2.27
R97-C39,97,39,40.5,170,170,41,0.5
R89-C41,89,41,40.5,170,170,41,0.5
R125-C38,125,38,40.53,174,174,41,0.47
R69-C46,69,46,38.5,174,174,41,2.5
R62-C47,62,47,40.53,170,170,41,0.47
R114-C34,114,34,40.48,174,174,41,0.52
R73-C39,73,39,40.5,169,169,41,0.5
R87-C37,87,37,40.47,170,170,41,0.53
R122-C35,122,35,38.51,152,152,41,2.49
R79-C42,79,42,39.5,174,174,41,1.5
R93-C40,93,40,40.5,170,170,41,0.5
R112-C33,112,33,40.5,152,152,41,0.5
R74-C50,74,50,40.5,170,170,41,0.5
R83-C44,83,44,40.5,170,170,41,0.5
R71-C50,71,50,38.5,170,170,41,2.5
R56-C50,56,50,39.5,170,170,41,1.5
R119-C38,119,38,38.5,174,174,41,2.5
R92-C35,92,35,37.5,174,174,41,3.5
R53-C50,53,50,40.5,170,170,41,0.5
R56-C44,56,44,38.74,174,174,41,2.26
R95-C41,95,41,38.5,169,169,41,2.5
R66-C52,66,52,39.5,170,170,41,1.5
R64-C48,64,48,38.5,169,169,41,2.5
R88-C36,88,36,39.5,152,152,41,1.5
R64-C51,64,51,39.47,170,170,41,1.53
R87-C46,87,46,38.51,174,174,41,2.49
R67-C48,67,48,39.47,170,170,41,1.53
R84-C40,84,40,40.46,170,170,41,0.54
R95-C44,95,44,39.5,174,174,41,1.5
R90-C37,90,37,38.5,174,174,41,2.5
R59-C44,59,44,38.5,169,169,41,2.5
R111-C31,111,31,40.51,152,152,41,0.49
R53-C47,53,47,38.5,174,174,41,2.5
R122-C38,122,38,39.68,174,174,41,1.32
R109-C36,109,36,38.5,174,174,41,2.5
R72-C43,72,43,39.5,174,174,41,1.5
R126-C31,126,31,37.5,174,174,41,3.5
R125-C35,125,35,40.5,174,174,41,0.5
R127-C27,127,27,40.5,169,169,41,0.5
R50-C50,50,50,38.5,170,170,41,2.5
R106-C33,106,33,39.49,174,174,41,1.51
R103-C42,103,42,39.5,170,170,41,1.5
R121-C30,121,30,39.5,152,152,41,1.5
R61-C42,61,42,38.76,174,174,41,2.24
R77-C41,77,41,40.5,170,170,41,0.5
R75-C40,75,40,38.51,174,174,41,2.49
R115-C33,115,33,38.5,152,152,41,2.5
R88-C42,88,42,37.5,174,174,41,3.5
R73-C51,73,51,38.5,174,174,41,2.5
R93-C46,93,46,40.5,170,170,41,0.5
R62-C50,62,50,38.5,174,174,41,2.5
R80-C41,80,41,38.44,174,174,41,2.56
R100-C39,100,39,40.5,170,170,41,0.5
R117-C40,117,40,39.5,174,174,41,1.5
R118-C30,118,30,39.5,174,174,41,1.5
R84-C43,84,43,39.3,174,174,41,1.7
R93-C37,93,37,38.5,174,174,41,2.5
R83-C41,83,41,39.5,174,174,41,1.5
R76-C42,76,42,38.5,174,174,41,2.5
R46-C45,46,45,40.5,170,170,41,0.5
R97-C36,97,36,39.41,152,152,41,1.59
R100-C33,100,33,39.5,174,174,41,1.5
R96-C43,96,43,38.55,170,170,41,2.45
R114-C40,114,40,39.5,170,170,41,1.5
R20-C40,20,40,40.52,174,174,41,0.48
R50-C49,50,49,39.5,170,170,41,1.5
R63-C48,63,48,38.5,170,170,41,2.5
R34-C35,34,35,38.5,174,174,41,2.5
R5-C28,5,28,39.5,174,174,41,1.5
R73-C47,73,47,40.51,170,170,41,0.49
R47-C46,47,46,40.22,170,170,41,0.78
R25-C35,25,35,38.5,156,156,41,2.5
R33-C45,33,45,40.47,169,169,41,0.53
R63-C45,63,45,40.5,170,170,41,0.5
R23-C43,23,43,37.5,169,169,41,3.5
R74-C46,74,46,38.35,174,174,41,2.65
R3-C36,3,36,39.42,174,174,41,1.58
R30-C33,30,33,40.5,174,174,41,0.5
R55-C50,55,50,38.5,152,152,41,2.5
R35-C43,35,43,38.5,174,174,41,2.5
R13-C35,13,35,39.5,174,174,41,1.5
R36-C45,36,45,40.5,170,170,41,0.5
R11-C37,11,37,38.5,174,174,41,2.5
R65-C52,65,52,38.09,174,174,41,2.91
R5-C40,5,40,38.5,174,174,41,2.5
R40-C41,40,41,40.5,170,170,41,0.5
R37-C41,37,41,38.5,169,169,41,2.5
R18-C36,18,36,39.81,174,174,41,1.19
R33-C36,33,36,39.5,174,174,41,1.5
R19-C32,19,32,38.91,174,174,41,2.09
R71-C43,71,43,40.5,170,170,41,0.5
R34-C38,34,38,40.5,170,170,41,0.5
R72-C45,72,45,40.5,170,170,41,0.5
R59-C49,59,49,39.8,174,174,41,1.2
R42-C36,42,36,40.5,170,170,41,0.5
R50-C40,50,40,38.5,169,169,41,2.5
R47-C49,47,49,39.71,170,170,41,1.29
R14-C40,14,40,39.91,174,174,41,1.09
R13-C41,13,41,38.5,174,174,41,2.5
R67-C50,67,50,40.5,170,170,41,0.5
R34-C44,34,44,38.5,174,174,41,2.5
R53-C43,53,43,39.5,174,174,41,1.5
R60-C51,60,51,39.5,174,174,41,1.5
R69-C48,69,48,38.5,170,170,41,2.5
R30-C45,30,45,39.54,170,170,41,1.46
R68-C46,68,46,40.51,172,172,41,0.49
R13-C32,13,32,40.91,174,174,41,0.09
R64-C53,64,53,38.5,152,152,41,2.5
R26-C40,26,40,39.5,174,174,41,1.5
R60-C48,60,48,40.5,170,170,41,0.5
R78-C45,78,45,37.5,174,174,41,3.5
R75-C51,75,51,40.09,170,170,41,0.91
R71-C46,71,46,39.38,170,170,41,1.62
R54-C42,54,42,38.5,174,174,41,2.5
R47-C37,47,37,38.5,174,174,41,2.5
R3-C33,3,33,40.5,174,174,41,0.5
R16-C32,16,32,39.02,174,174,41,1.98
R18-C42,18,42,38.5,174,174,41,2.5
R20-C31,20,31,40.48,152,152,41,0.52
R50-C46,50,46,40.5,170,170,41,0.5
R71-C52,71,52,40.5,170,170,41,0.5
R63-C42,63,42,39.5,170,170,41,1.5
R54-C39,54,39,40.5,170,170,41,0.5
R44-C40,44,40,39.5,174,174,41,1.5
R32-C37,32,37,40.5,170,170,41,0.5
R75-C48,75,48,38.5,170,170,41,2.5
R10-C41,10,41,38.5,174,174,41,2.5
R26-C34,26,34,40.7,174,174,41,0.3
R11-C31,11,31,38.5,174,174,41,2.5
R54-C45,54,45,40.5,170,170,41,0.5
R41-C46,41,46,40.5,174,174,41,0.5
R26-C37,26,37,39.5,169,169,41,1.5
R39-C45,39,45,40.5,170,170,41,0.5
R52-C47,52,47,39.5,170,170,41,1.5
R92-C46,92,46,38.5,170,170,41,2.5
R68-C52,68,52,38.5,174,174,41,2.5
R78-C48,78,48,40.5,170,170,41,0.5
R53-C49,53,49,38.5,174,174,41,2.5
R18-C39,18,39,40.5,152,152,41,0.5
R57-C45,57,45,38.5,174,174,41,2.5
R76-C47,76,47,40.5,170,170,41,0.5
R79-C50,79,50,39.5,170,170,41,1.5
R50-C43,50,43,40.5,170,170,41,0.5
R12-C39,12,39,38.5,152,152,41,2.5
R77-C46,77,46,40.5,143,143,41,0.5
R23-C40,23,40,40.48,169,169,41,0.52
R53-C46,53,46,39.5,170,170,41,1.5
R59-C46,59,46,38.5,170,170,41,2.5
R42-C42,42,42,39.58,170,170,41,1.42
R39-C39,39,39,40.5,170,170,41,0.5
R64-C50,64,50,38.73,152,152,41,2.27
R17-C34,17,34,39.55,174,174,41,1.45
R56-C49,56,49,38.5,174,174,41,2.5
R48-C39,48,39,38.5,174,174,41,2.5
R56-C43,56,43,39.5,174,174,41,1.5
R61-C41,61,41,40.5,170,170,41,0.5
R73-C44,73,44,38.5,174,174,41,2.5
R75-C45,75,45,40.5,170,170,41,0.5
R12-C33,12,33,40.51,174,174,41,0.49
R52-C41,52,41,40.38,169,169,41,0.62
R70-C50,70,50,39.5,170,170,41,1.5
R51-C42,51,42,39.5,174,174,41,1.5
R5-C31,5,31,39.5,174,174,41,1.5
R42-C45,42,45,40.5,170,170,41,0.5
R56-C46,56,46,38.5,174,174,41,2.5
R31-C44,31,44,39.5,174,174,41,1.5
R2-C28,2,28,38.65,152,152,41,2.35
R22-C41,22,41,39.55,169,169,41,1.45
R64-C47,64,47,39.52,170,170,41,1.48
R7-C38,7,38,39.55,174,174,41,1.45
R24-C36,24,36,39.46,170,170,41,1.54
R49-C50,49,50,40.5,170,170,41,0.5
R45-C45,45,45,39.5,174,174,41,1.5
R64-C41,64,41,38.5,169,169,41,2.5
R70-C47,70,47,39.5,174,174,41,1.5
R35-C40,35,40,39.5,152,152,41,1.5
R67-C47,67,47,39.6,170,170,41,1.4
R62-C52,62,52,38.4,174,174,41,2.6
R60-C39,60,39,38.5,174,174,41,2.5
R85-C47,85,47,39.71,170,170,41,1.29
R6-C36,6,36,39.5,174,174,41,1.5
R45-C39,45,39,38.5,174,174,41,2.5
R30-C42,30,42,40.52,170,170,41,0.48
R20-C37,20,37,40.5,152,152,41,0.5
R12-C42,12,42,40.5,152,152,41,0.5
R32-C43,32,43,38.63,170,170,41,2.37
R7-C35,7,35,38.62,174,174,41,2.38
R23-C37,23,37,38.75,174,174,41,2.25
R68-C49,68,49,39.5,170,170,41,1.5
R17-C31,17,31,39.5,174,174,41,1.5
R38-C40,38,40,40.59,170,170,41,0.41
R24-C42,24,42,39.57,170,170,41,1.43
R2-C40,2,40,40.5,152,152,41,0.5
R21-C42,21,42,40.44,174,174,41,0.56
R47-C40,47,40,38.5,174,174,41,2.5
R31-C38,31,38,39.5,174,174,41,1.5
R49-C38,49,38,40.45,174,174,41,0.55
R7-C32,7,32,39.5,169,169,41,1.5
R72-C48,72,48,38.5,174,174,41,2.5
R37-C47,37,47,39.45,170,170,41,1.55
R32-C46,32,46,40.44,174,174,41,0.56
R27-C36,27,36,40.5,174,174,41,0.5
R61-C44,61,44,40.5,170,170,41,0.5
R80-C49,80,49,40.5,170,170,41,0.5
R57-C39,57,39,40.5,170,170,41,0.5
R53-C40,53,40,40.5,170,170,41,0.5
R77-C43,77,43,38.53,170,170,41,2.47
R51-C45,51,45,39.5,170,170,41,1.5
R7-C41,7,41,40.5,174,174,41,0.5
R30-C36,30,36,39.42,174,174,41,1.58
R21-C36,21,36,40.5,170,170,41,0.5
R56-C40,56,40,38.5,174,174,41,2.5
R43-C47,43,47,39.5,174,174,41,1.5
R30-C39,30,39,39.5,152,152,41,1.5
R15-C39,15,39,38.04,174,174,41,2.96
R27-C42,27,42,39.86,170,170,41,1.14
R89-C46,89,46,39.5,170,170,41,1.5
R23-C34,23,34,38.5,152,152,41,2.5
R45-C48,45,48,39.63,170,170,41,1.37
R8-C40,8,40,40.5,170,170,41,0.5
R36-C42,36,42,40.49,170,170,41,0.51
R76-C50,76,50,38.5,174,174,41,2.5
R41-C37,41,37,40.57,174,174,41,0.43
R20-C43,20,43,39.32,174,174,41,1.68
R62-C40,62,40,39.5,170,170,41,1.5
R77-C49,77,49,40.49,174,174,41,0.51
R26-C43,26,43,40.24,174,174,41,0.76
R90-C48,90,48,39.51,170,170,41,1.49
R61-C50,61,50,39.5,170,170,41,1.5
R29-C43,29,43,39.48,174,174,41,1.52
R24-C45,24,45,39.5,170,170,41,1.5
R59-C52,59,52,38.5,174,174,41,2.5
R58-C47,58,47,38.5,170,170,41,2.5
R22-C32,22,32,39.43,174,174,41,1.57
R66-C42,66,42,38.5,169,169,41,2.5
R60-C45,60,45,38.5,170,170,41,2.5
R59-C40,59,40,40.5,170,170,41,0.5
R31-C41,31,41,40.5,170,170,41,0.5
R25-C38,25,38,39.5,174,174,41,1.5
R82-C47,82,47,40.5,170,170,41,0.5
R41-C43,41,43,40.5,170,170,41,0.5
R71-C49,71,49,38.5,174,174,41,2.5
R2-C34,2,34,38.5,152,152,41,2.5
R29-C40,29,40,40.5,170,170,41,0.5
R62-C49,62,49,39.5,170,170,41,1.5
R44-C43,44,43,38.5,174,174,41,2.5
R6-C30,6,30,40.0,152,152,41,1.0
R42-C48,42,48,38.5,174,174,41,2.5
R12-C30,12,30,40.77,174,174,41,0.23
R46-C41,46,41,38.5,174,174,41,2.5
R11-C40,11,40,40.5,170,170,41,0.5
R14-C37,14,37,37.61,174,174,41,3.39
R51-C39,51,39,38.5,152,152,41,2.5
R52-C44,52,44,39.5,170,170,41,1.5
R15-C42,15,42,39.5,174,174,41,1.5
R35-C46,35,46,38.5,174,174,41,2.5
R2-C31,2,31,39.5,152,152,41,1.5
R28-C41,28,41,40.5,169,169,41,0.5
R6-C39,6,39,39.5,174,174,41,1.5
R5-C37,5,37,40.46,174,174,41,0.54
R49-C41,49,41,39.5,170,170,41,1.5
R4-C38,4,38,40.5,170,170,41,0.5
R9-C36,9,36,38.5,169,169,41,2.5
R61-C47,61,47,39.52,170,170,41,1.48
R14-C31,14,31,39.5,174,174,41,1.5
R4-C29,4,29,39.5,174,174,41,1.5
R4-C32,4,32,39.5,174,174,41,1.5
R39-C36,39,36,38.5,174,174,41,2.5
R34-C47,34,47,39.49,174,174,41,1.51
R10-C35,10,35,39.5,169,169,41,1.5
R28-C44,28,44,40.5,174,174,41,0.5
R3-C39,3,39,40.5,169,169,41,0.5
R8-C37,8,37,40.5,170,170,41,0.5
R10-C32,10,32,40.5,174,174,41,0.5
R24-C39,24,39,40.61,170,170,41,0.39
R35-C37,35,37,38.5,174,174,41,2.5
R80-C46,80,46,40.46,170,170,41,0.54
R103-C41,103,41,37.5,152,152,41,3.5
R49-C29,49,29,40.5,169,169,41,0.5
R58-C38,58,38,39.16,174,174,41,1.84
R45-C33,45,33,39.5,174,174,41,1.5
R90-C36,90,36,40.5,169,169,41,0.5
R19-C29,19,29,40.5,169,169,41,0.5
R84-C42,84,42,40.54,170,170,41,0.46
R56-C28,56,28,39.75,174,174,41,1.25
R108-C42,108,42,37.63,174,174,41,3.37
R3-C27,3,27,40.5,174,174,41,0.5
R16-C23,16,23,40.57,169,169,41,0.43
R81-C36,81,36,39.51,170,170,41,1.49
R100-C44,100,44,39.5,174,174,41,1.5
R99-C45,99,45,38.52,174,174,41,2.48
R14-C28,14,28,39.83,169,169,41,1.17
R113-C43,113,43,39.5,170,170,41,1.5
R87-C42,87,42,38.29,174,174,41,2.71
R13-C17,13,17,39.52,173,173,41,1.48
R118-C41,118,41,38.5,174,174,41,2.5
R106-C44,106,44,40.5,170,170,41,0.5
R105-C45,105,45,37.5,152,152,41,3.5
R81-C42,81,42,39.5,174,174,41,1.5
R90-C39,90,39,39.5,174,174,41,1.5
R72-C33,72,33,39.5,174,174,41,1.5
R99-C42,99,42,38.5,152,152,41,2.5
R3-C15,3,15,39.51,156,156,41,1.49
R88-C44,88,44,39.46,170,170,41,1.54
R46-C35,46,35,38.5,174,174,41,2.5
R124-C41,124,41,40.5,169,169,41,0.5
R19-C26,19,26,40.5,169,169,41,0.5
R23-C28,23,28,39.5,169,169,41,1.5
R86-C40,86,40,38.5,152,152,41,2.5
R51-C33,51,33,39.81,174,174,41,1.19
R12-C27,12,27,39.5,152,152,41,1.5
R107-C43,107,43,38.5,170,170,41,2.5
R54-C27,54,27,38.5,152,152,41,2.5
R38-C25,38,25,40.5,152,152,41,0.5
R39-C24,39,24,40.5,152,152,41,0.5
R32-C25,32,25,40.5,174,174,41,0.5
R96-C45,96,45,40.72,170,170,41,0.28
R24-C30,24,30,39.51,170,170,41,1.49
R8-C22,8,22,40.5,174,174,41,0.5
R33-C21,33,21,40.5,169,169,41,0.5
R21-C27,21,27,39.5,174,174,41,1.5
R62-C34,62,34,39.23,174,174,41,1.77
R57-C30,57,30,38.51,173,173,41,2.49
R103-C38,103,38,39.5,169,169,41,1.5
R38-C34,38,34,38.51,174,174,41,2.49
R63-C33,63,33,38.5,174,174,41,2.5
R97-C44,97,44,38.5,174,174,41,2.5
R44-C31,44,31,40.5,174,174,41,0.5
R35-C31,35,31,40.21,174,174,41,0.79
R95-C43,95,43,39.75,170,170,41,1.25
R9-C24,9,24,40.69,152,152,41,0.31
R87-C33,87,33,40.47,174,174,41,0.53
R90-C33,90,33,40.46,170,170,41,0.54
R51-C27,51,27,40.5,173,173,41,0.5
R17-C25,17,25,39.49,169,169,41,1.51
R80-C34,80,34,38.5,174,174,41,2.5
R36-C30,36,30,40.51,174,174,41,0.49
R60-C36,60,36,40.5,152,152,41,0.5
R39-C27,39,27,40.01,152,152,41,0.99
R25-C20,25,20,39.5,173,173,41,1.5
R58-C35,58,35,38.5,174,174,41,2.5
R76-C41,76,41,40.5,169,169,41,0.5
R103-C35,103,35,40.5,174,174,41,0.5
R117-C39,117,39,39.5,174,174,41,1.5
R17-C22,17,22,40.5,173,173,41,0.5
R105-C42,105,42,39.5,174,174,41,1.5
R1-C20,1,20,40.51,169,169,41,0.49
R92-C43,92,43,38.5,170,170,41,2.5
R17-C28,17,28,40.5,169,169,41,0.5
R31-C23,31,23,38.73,173,173,41,2.27
R12-C18,12,18,39.51,173,173,41,1.49
R82-C35,82,35,40.5,174,174,41,0.5
R71-C31,71,31,39.5,152,152,41,1.5
R37-C29,37,29,39.5,152,152,41,1.5
R89-C43,89,43,40.08,174,174,41,0.92
R97-C38,97,38,40.77,170,170,41,0.23
R34-C32,34,32,40.85,174,174,41,0.15
R28-C32,28,32,39.5,174,174,41,1.5
R101-C37,101,37,40.51,170,170,41,0.49
R111-C42,111,42,38.5,170,170,41,2.5
R39-C33,39,33,38.5,174,174,41,2.5
R83-C34,83,34,40.51,169,169,41,0.49
R35-C22,35,22,40.5,152,152,41,0.5
R104-C43,104,43,40.5,170,170,41,0.5
R73-C35,73,35,39.92,174,174,41,1.08
R33-C30,33,30,40.5,174,174,41,0.5
R77-C40,77,40,38.5,174,174,41,2.5
R75-C42,75,42,40.5,170,170,41,0.5
R100-C38,100,38,39.51,174,174,41,1.49
R59-C28,59,28,40.5,169,169,41,0.5
