Scan,Row,Col,VRefN,PPReg,rawIadj,Mean,Delta
R63-C13,63,13,39.5,156,156,41,1.5
R34-C15,34,15,39.51,174,174,41,1.49
R63-C1,63,1,38.5,175,175,41,2.5
R61-C3,61,3,40.5,154,154,41,0.5
R28-C18,28,18,39.51,173,173,41,1.49
R19-C15,19,15,39.5,156,156,41,1.5
R14-C20,14,20,40.53,169,169,41,0.47
R80-C5,80,5,39.86,175,175,41,1.14
R58-C9,58,9,40.73,171,171,41,0.27
R25-C21,25,21,40.5,173,173,41,0.5
R15-C13,15,13,37.5,170,170,41,3.5
R59-C5,59,5,38.5,154,154,41,2.5
R9-C16,9,16,40.5,173,173,41,0.5
R82-C6,82,6,40.5,171,171,41,0.5
R60-C13,60,13,40.5,173,173,41,0.5
R36-C7,36,7,40.5,154,154,41,0.5
R21-C19,21,19,40.5,152,152,41,0.5
R77-C8,77,8,40.5,156,156,41,0.5
R52-C9,52,9,40.5,156,156,41,0.5
R51-C4,51,4,37.5,158,158,41,3.5
R1-C21,1,21,38.52,173,173,41,2.48
R42-C7,42,7,38.5,171,171,41,2.5
R64-C6,64,6,38.5,175,175,41,2.5
R10-C15,10,15,40.6,173,173,41,0.4
R40-C6,40,6,38.5,171,171,41,2.5
R70-C6,70,6,38.49,175,175,41,2.51
R12-C22,12,22,38.51,173,173,41,2.49
R14-C11,14,11,40.5,170,170,41,0.5
R59-C2,59,2,39.5,155,155,41,1.5
R67-C9,67,9,40.5,154,154,41,0.5
R15-C16,15,16,40.5,173,173,41,0.5
R33-C16,33,16,40.5,156,156,41,0.5
R54-C4,54,4,40.5,154,154,41,0.5
R63-C10,63,10,40.5,156,156,41,0.5
R35-C17,35,17,39.55,173,173,41,1.45
R23-C11,23,11,40.43,152,152,41,0.57
R32-C11,32,11,39.5,156,156,41,1.5
R70-C9,70,9,39.63,156,156,41,1.37
R4-C21,4,21,40.5,139,139,41,0.5
R21-C22,21,22,40.72,152,152,41,0.28
R78-C10,78,10,40.5,156,156,41,0.5
R56-C8,56,8,40.38,156,156,41,0.62
R3-C25,3,25,40.32,173,173,41,0.68
R61-C12,61,12,39.73,156,156,41,1.27
R35-C14,35,14,39.5,156,156,41,1.5
R63-C7,63,7,39.5,171,171,41,1.5
R75-C4,75,4,40.5,154,154,41,0.5
R78-C4,78,4,40.47,171,171,41,0.53
R5-C14,5,14,40.5,152,152,41,0.5
R29-C8,29,8,40.4,152,152,41,0.6
R34-C9,34,9,40.41,156,156,41,0.59
R29-C11,29,11,40.5,156,156,41,0.5
R43-C15,43,15,40.5,156,156,41,0.5
R25-C15,25,15,40.5,173,173,41,0.5
R11-C14,11,14,39.5,172,172,41,1.5
R50-C5,50,5,40.5,158,158,41,0.5
R38-C8,38,8,40.5,171,171,41,0.5
R59-C8,59,8,38.5,154,154,41,2.5
R66-C4,66,4,40.5,154,154,41,0.5
R37-C9,37,9,38.5,173,173,41,2.5
R4-C18,4,18,39.52,173,173,41,1.48
R28-C12,28,12,40.5,156,156,41,0.5
R48-C10,48,10,40.52,156,156,41,0.48
R44-C17,44,17,40.5,152,152,41,0.5
R27-C13,27,13,38.5,171,171,41,2.5
R20-C17,20,17,40.5,152,152,41,0.5
R44-C11,44,11,40.5,156,156,41,0.5
R31-C15,31,15,40.5,156,156,41,0.5
R31-C9,31,9,40.5,156,156,41,0.5
R27-C19,27,19,40.51,152,152,41,0.49
R58-C12,58,12,40.5,156,156,41,0.5
R30-C19,30,19,39.5,156,156,41,1.5
R75-C7,75,7,40.5,175,175,41,0.5
R26-C17,26,17,39.45,156,156,41,1.55
R20-C11,20,11,39.5,156,156,41,1.5
R76-C6,76,6,38.99,158,158,41,2.01
R24-C10,24,10,40.39,156,156,41,0.61
R42-C10,42,10,37.5,171,171,41,3.5
R53-C14,53,14,40.5,173,173,41,0.5
R53-C8,53,8,40.6,175,175,41,0.4
R11-C17,11,17,38.5,156,156,41,2.5
R30-C10,30,10,39.5,152,152,41,1.5
R66-C16,66,16,40.51,156,156,41,0.49
R80-C20,80,20,38.43,156,156,41,2.57
R60-C16,60,16,39.38,171,171,41,1.62
R47-C26,47,26,40.5,174,174,41,0.5
R56-C23,56,23,38.5,156,156,41,2.5
R57-C28,57,28,40.5,174,174,41,0.5
R76-C24,76,24,40.5,152,152,41,0.5
R44-C26,44,26,38.5,173,173,41,2.5
R88-C12,88,12,40.5,156,156,41,0.5
R58-C15,58,15,40.49,156,156,41,0.51
R101-C17,101,17,39.5,152,152,41,1.5
R97-C18,97,18,40.34,156,156,41,0.66
R32-C23,32,23,40.5,152,152,41,0.5
R85-C21,85,21,39.5,156,156,41,1.5
R46-C21,46,21,40.5,174,174,41,0.5
R77-C20,77,20,39.52,173,173,41,1.48
R105-C10,105,10,36.66,154,154,41,4.34
R87-C13,87,13,40.5,173,173,41,0.5
R5-C26,5,26,40.5,152,152,41,0.5
R38-C26,38,26,40.5,152,152,41,0.5
R83-C20,83,20,39.5,173,173,41,1.5
R24-C28,24,28,40.74,174,174,41,0.26
R55-C18,55,18,39.54,173,173,41,1.46
R11-C29,11,29,40.12,174,174,41,0.88
R59-C17,59,17,39.53,173,173,41,1.47
R53-C20,53,20,39.5,152,152,41,1.5
R48-C22,48,22,39.5,152,152,41,1.5
R98-C8,98,8,39.5,154,154,41,1.5
R1-C33,1,33,40.5,174,174,41,0.5
R50-C26,50,26,40.5,169,169,41,0.5
R69-C22,69,22,38.5,156,156,41,2.5
R99-C10,99,10,39.5,171,171,41,1.5
